,actions_id,actions_timestamp,actions_action_type,actions_transfer_amount,actions_transfer_sender_id,actions_transfer_sender_holdings,actions_transfer_receiver_id,actions_transfer_receiver_holdings
0,WRAP-3d1570d3feb5205253acf83470cc2cbb86516ecfb176e8232396f1c862d4b01d,1613757120,WRAP,99626629360729129,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xe19fc582dd93fa876cf4061eb5456f310144f57b,0.0
1,WRAP-3b558a6f04b3e441dd7d2dbe5a906af7178732052696059ea84f95cc47b062cc,1614153966,WRAP,9957210306060901,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xff002dae4b9a24a4512d89a9793a1ea794bc8c63,7.967324997449771e+16
2,WRAP-33e92eb90651db99f9af4c40100122bdace71a7387685f34f19abf211cec76d4,1614154065,WRAP,9957210306060901,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xff002dae4b9a24a4512d89a9793a1ea794bc8c63,7.967324997449771e+16
3,SEND-7917844e61fee088622ac6f04233a099fe37efa5ea72412c1919322be5e54a7e,1614154142,SEND,10042973576557936,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-1.51541466175454e+21,0xff002dae4b9a24a4512d89a9793a1ea794bc8c63,7.967324997449771e+16
4,UNWRAP-7917844e61fee088622ac6f04233a099fe37efa5ea72412c1919322be5e54a7e,1614154142,UNWRAP,10000000000000000,0xff002dae4b9a24a4512d89a9793a1ea794bc8c63,7.967324997449771e+16,0x0000000000000000000000000000000000000000,-7.455498349074342e+21
5,WRAP-f406173c27a906773f4e0add0eccf0c2ef44f849d405d393d68bc89eccef1928,1614198194,WRAP,99572103060609015,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x9c767178528c8a205df63305ebda4bb6b147889b,1.9884681471923216e+17
6,WRAP-5043a407b56658bb72030803276b18a6cf5d5793322de097f51c9cd7b8a09e90,1614955805,WRAP,993390809063228791,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xb60b2887c7f64ae49ecc939ecb48c985e9358f09,0.0
7,WRAP-c9f8969a805526b2e0f29bc20d9b7b14e475e3874fc3f4ae1a58166e9a7be388,1615176230,WRAP,49648117673446200,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xfec18996c36d02902e4c55bcfb7a1c73aa1500cd,0.0
8,WRAP-00d1fb817b629cdca3c1f47f333075f73078a35c444c4f74cf035da6e7171469,1615199177,WRAP,49648117673446200,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x00444797ba158a7bdb8302e72da98dcbccef0fbc,0.0
9,WRAP-913b9bc5815c4022571d1ed1307a89a9cd8adcd43d469167b118947d695d83c1,1615234784,WRAP,9927471165862315052,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x32254b28f793cc18b3575c86c61fe3d7421cbbef,1.001154194696477e+19
10,WRAP-18c6d3536cf809017d24f2a0f8805affa622b4e314a304b67b85b974972fdd4e,1615234816,WRAP,794197693268985204,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x9581f442075eef408bd5e560cca77fcf598f601e,2.581142503124202e+18
11,WRAP-9344765ba8bda9966dcd0d51ad3bb4f0554425b36853731577ec8ef9b0a9b6f5,1615234896,WRAP,9927471165862315052,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x84677c9949f95416ef54352eba23c0f97f08f5d8,0.0
12,WRAP-8da2a52f3676fd0eccac01302eb00a323ba8e8550aedd6aabacbfa604c6b1a3e,1615234906,WRAP,1786944809855216709,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x9581f442075eef408bd5e560cca77fcf598f601e,2.581142503124202e+18
13,WRAP-55b5b9a062d31666ad3081863cfb34decae2b32428c92af354e143f91e23f15d,1615235033,WRAP,11118767705765792858,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xdd4bc51496dc93a0c47008e820e0d80745476f22,0.0
14,WRAP-16e3eda0aa824e7d1faeb91c8b64442896c9c1f0b31f675eb2d673370f2004ca,1615235501,WRAP,1985494233172463010,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x99c16d5f932ceccfaf53143e85ae18f03256205d,0.0
15,WRAP-e15a4e14ee02bcaad93a768fdd00a17b3160ca6c067272cd8075792ea1dbf4f9,1615235507,WRAP,89049416357784966020,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xe1e2a52a21226ba37f28ba6cdf59f20156798f94,9.999996557722495e+19
16,WRAP-21af0b3e595bf437fa4d7baaa70de74a6f5190c63ca174aa4b5f319b6793d8a8,1615235553,WRAP,24818677914655787631,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x275b2edbc7c4413dbecff9ef37ba9214758e3b13,3.1743976325004767e+19
17,WRAP-0a152ac880ca57713418e14043492f5e244138f5c02ba7701feb16be802009b2,1615235664,WRAP,30675885902514553511,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xdd01596074fa8e2a2f84d10d89090ae4543ea20b,3.0899986221837525e+19
18,WRAP-132a337cbfc8823bbe8f725739f07a5a72aa1eff0ea9e4eb3206354ad91ec00f,1615235689,WRAP,68860910994887362129,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x4e475640967781afc29d3c8aafae4ffc041710b7,0.0
19,WRAP-fa0e0dc23bf45e121171398b158f9bc26cf78e9a3722e2c4ee382ec005a838dd,1615235716,WRAP,10225295300838184503,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x9b0c19000a8631c1f555bb365bde308384e4f2ff,0.0
20,WRAP-32fb2137946eaa2f77b33587e3a55f44c49e34f8983dd47c377b279c71957b59,1615235879,WRAP,10920218282448546557,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xe71ba8ec2fa3dc20de946b84ceaa243ae7ccf2fb,1.952667483560081e+19
21,WRAP-f44f86a0a1b1280e2c610ed2becb24d82666861663909c55c20e78f2bbf47463,1615235922,WRAP,23281709806998333773,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xba3d14a79340cb1eac61f8ddd0a56f4624db0e0d,2.352788019771561e+19
22,WRAP-fc28d5b50461cde17c567c75641a20ba43435af46af3be3de1fc19f0cf7175de,1615235932,WRAP,992747116586231505,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xa9befffe0061866e240cbbed7e2572c48941b2db,0.0
23,WRAP-87c7a9324d7fc4bbcc13a5a289ae1c0bf3438474fe3406149cd6bc1fa1b8919b,1615235933,WRAP,744560337439673628,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x239f014cfc39ba2217cbe985c5c5357e7e73198a,7.527495249858711e+17
24,WRAP-aa0c0d8338cf71558fdd9c9b788aeb5031172044197501075565157f9c24bb94,1615236025,WRAP,100863107045161120932,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x5ade40e345817b739b91c6b4615efce87f9d7c57,1.0159999999967006e+20
25,WRAP-292b258a268b10228385edf41adb988bb3334b1f7ee5205ad8f33b4949e9787b,1615236167,WRAP,8934724049276083547,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xd3802dce7f7a54d59e7a64329d287624ff3f495a,8.972004485706817e+18
26,WRAP-b9086ba4c5a281a860bef0e65d5834844303b2943942b6fe7796d5586ceceefa,1615236271,WRAP,717844221961086577023,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x6af235d2bbe050e6291615b71ca5829658810142,0.0
27,WRAP-077c3070eabba8bab5ce4cae15f665ad7f3dcd9e1fa0b24e3fd4fb652308df46,1615236449,WRAP,1985494233172463010482,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x97960149fc611508748de01202974d372a677632,0.0
28,WRAP-5accd030efcd39990df98ea08fe2bcc647ea00973dc65727f78920a8fa4e741f,1615236622,WRAP,10225295300838184503,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xe1e2a52a21226ba37f28ba6cdf59f20156798f94,9.999996557722495e+19
29,WRAP-02425278043b53c418e01925ed01a041ddf48ea2b4c9ba31e9a7817e3580844d,1615236637,WRAP,1022231705948842580946,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x0eb4add4ba497357546da7f5d12d39587ca24606,0.0
30,WRAP-f4dafee61fae6a28c0e1624df803ed0fae7ae765da7f8a5f245b80692f116dc2,1615236946,WRAP,105296318568988596342,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xb0e83c2d71a991017e0116d58c5765abc57384af,0.0
31,WRAP-3e380e515811c9361ea635ec3f4c71ee460eabad77db1a15d26407b6c2154514,1615236969,WRAP,16876700981965935589,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x23783f2d297555fdcbd3cda4b4cee5af9dd2a02b,0.0
32,WRAP-fc7be2ca4b3b8f2e3cf8a6aa5e0d0a3d86459eb7443151f856d67d0fb6f86bb0,1615237056,WRAP,10211099017071001393,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xa6775ae22067d71fae76e22fa377cfb38f223f0d,0.0
33,SEND-13cd769b23c99fe525274ff21cd0a1b21bd6f3905fde72caa32757bdda88a66e,1615237114,SEND,105296318568988596342,0xb0e83c2d71a991017e0116d58c5765abc57384af,0.0,0x1a31c94f97c649bc2a8adbceb54d1f4a075be4b1,0.0
34,WRAP-4bc7837112e9dc4705314c5090be006aa9d54ab410201d1328a1eba40da8e580,1615237114,WRAP,30629028238611683384,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xfffe1f5d42dc16af7c05d0aa24d2c649a869b367,0.0
35,WRAP-a100d59d98753663f843e488f11c38fc87d41ad302adaaa15c23cce9a6b13b9e,1615237750,WRAP,44077971976428678832,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xa3829551320b8c642e050b673e94a8560048a45e,0.0
36,WRAP-91240de9d83cc47d256089ae1744494745955f863d2aece372b1de153ea23b1e,1615237798,WRAP,59167728148539397712,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x16f037a3ddf53da1b047a926e1833219f0a8e1fc,8.673043826385732e+19
37,WRAP-102d45d5439777d30bf059f904953224ce04c3c822952e1427711ca1e78ab50e,1615237830,WRAP,26506348012852381189,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xf49d2bcc52f0b46a98204721f98ce9d4e6730bed,3.773263546174707e+19
38,SEND-46f0024a9084cc1a0896baf2ba6b7853f65f505c79252910363bb4817f61afb0,1615238082,SEND,99995253918601796047,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-1.51541466175454e+21,0xe1e2a52a21226ba37f28ba6cdf59f20156798f94,9.999996557722495e+19
39,UNWRAP-46f0024a9084cc1a0896baf2ba6b7853f65f505c79252910363bb4817f61afb0,1615238082,UNWRAP,99270000000000000000,0xe1e2a52a21226ba37f28ba6cdf59f20156798f94,9.999996557722495e+19,0x0000000000000000000000000000000000000000,-7.455498349074342e+21
40,WRAP-370fa4765545861c2bfcaed509074a8e1c7d65f8cf92d564c4fc166b607b7dd9,1615238373,WRAP,5117426735038338370,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x5fbd75846a90e965fefacfe5d80e8e2ba675d841,0.0
41,WRAP-08d0c9f0c27dbd1fde3060b43704fe6952aa9e8d453ffa04ee2ec27ba7e2e205,1615238671,WRAP,29583864074269698856,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x298afe764ceade43ba80ac4390195e8d9451d6ef,0.0
42,WRAP-bb4d6233af3228db1c9640f5d5807df71cadf71f7d2780adf892234bdd56b164,1615238778,WRAP,27556884924589330403,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xcfb464585241eab3ecb392011648a8e829b951ed,2.783064076208839e+19
43,WRAP-2d015a3c2a9c19df2d201607f9174c1da392310cf6f18b078c87fd309ed51511,1615238821,WRAP,148912067487934725786,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x0ae3e9b076f0fa63a818e73e6b44231908629a9e,1.502051917110686e+20
44,WRAP-55b9dea0967b22503f44c66ad28fab38da9a02daf21f1c41678d7f23b543c4d3,1615239310,WRAP,49637355829311575,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x9c5dde694ef0b1c17a7ef6ae2e58b7ed8b1bd56f,4.999999740035658e+16
45,WRAP-27b170096e09a9871e7ae26cb9664ea791cdf3b49190630614aab445b3eae968,1615239571,WRAP,8438350490982967794,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xe71ba8ec2fa3dc20de946b84ceaa243ae7ccf2fb,1.952667483560081e+19
46,WRAP-7e354cdc3c3a7ce1985a2296e92a0dec1e828f20ade68ab04e2b25e7b5b8973f,1615240301,WRAP,80908890001777867677,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xfccba075a3f25208439e8f1a9e00a87fb861e248,8.15173785868149e+19
47,WRAP-0a673a56672ce5cfbc6034f9b00d7db593bb42d5f807d861dc7252ffe75706ad,1615240430,WRAP,198549423317246301,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x2beba030cdc9c4a47c5aa657974840428b9fefac,1.9999999690729837e+17
48,WRAP-83d8b419281bbcd2570e045a814158b42e9807cdcd885acb574b31096b0757df,1615240436,WRAP,6949229816103620536,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xdcd9ba7fc0b8324817a13deb3c268f80976056b4,0.0
49,SEND-9c2e7369e6af7b6d920d459bd8ccbafaf0496ec14d49bfba507edea80222f6fa,1615241144,SEND,199999573590052060,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-1.51541466175454e+21,0x2beba030cdc9c4a47c5aa657974840428b9fefac,1.9999999690729837e+17
50,UNWRAP-9c2e7369e6af7b6d920d459bd8ccbafaf0496ec14d49bfba507edea80222f6fa,1615241144,UNWRAP,198549000000000000,0x2beba030cdc9c4a47c5aa657974840428b9fefac,1.9999999690729837e+17,0x0000000000000000000000000000000000000000,-7.455498349074342e+21
51,SEND-2c68d29decf30c156d523e8c87758645c35f9bb0159fb33e09a344086b3e4cba,1615241260,SEND,101599999954508937696,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-1.51541466175454e+21,0x5ade40e345817b739b91c6b4615efce87f9d7c57,1.0159999999967006e+20
52,UNWRAP-2c68d29decf30c156d523e8c87758645c35f9bb0159fb33e09a344086b3e4cba,1615241260,UNWRAP,100863107000000000000,0x5ade40e345817b739b91c6b4615efce87f9d7c57,1.0159999999967006e+20,0x0000000000000000000000000000000000000000,-7.455498349074342e+21
53,WRAP-66fc23c59c7810e9a2e96eefcd6788e02b4db5c8a4eb136b2ebf3f0c4c2973e3,1615241628,WRAP,30576611190855930361,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x608b10b5cb5154132564e1d415b116def66a3960,6.479999999886914e+19
54,WRAP-0bf0d96a9e54370a9a4a6a506133db48f9d79763672350059ab4794dd439821f,1615241829,WRAP,6552130969469127934,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x5bfa69517e17411beda54ea2d3672709f4867254,0.0
55,WRAP-a96fe100cac5ca17403ae3d35aa1cd182aa309af1ed44f5290f47c9dd3d46e5d,1615242094,WRAP,99274711658623150,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x9c767178528c8a205df63305ebda4bb6b147889b,1.9884681471923216e+17
56,WRAP-8a8814b7844c55812ff590741e6524a5ec9404a63c5588ca03ffe874413b6796,1615242173,WRAP,5956482699517389031,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xcf07aeda16eba7c76f91a589e2c5265b1bf379a8,0.0
57,WRAP-f46e19d5f3ae0cb0c23bf25f4aa2485485a12663b46e616f64bcc718898a133c,1615242643,WRAP,98281964542036919018,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x3d18ef2eff0644bb0e6045f6906da0eb34c3200f,0.0
58,WRAP-addc35de86240cee8e5a8783f503decbd547e73b1514a440ce5f80f010474cb5,1615243040,WRAP,153077038740860601443,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xadeeb9d09b8bcee10943198fb6f6a4229bab3675,1.5422822679586442e+20
59,WRAP-6ebbb9d353b6eca1044c353ebc5f798c69c4ea62194044f715a942f629c8eee0,1615243312,WRAP,49637355829311575262,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x58f41b41ab4884520769c382d45188f9d5c31b27,0.0
60,WRAP-bb456a03321e1ea0ddafb2872e8f8a894d3dc9f1d9046f5cba681cab9cc4b7c5,1615244195,WRAP,6993506337503366461,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,0.0
61,WRAP-cc7596c7e02bc41c374d411e49e9a75e52e5857c98fe25e7b1c51c306e272e2c,1615244283,WRAP,15883953865379704083,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x5993bad196c8786baaedb5a5868f338fe6ce4cc2,0.0
62,SEND-93ff4b667a85a5928d153e617e41543d77bbc3d87f069ef660f18a3a15ceff2a,1615244336,SEND,49999641571045002,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-1.51541466175454e+21,0x9c5dde694ef0b1c17a7ef6ae2e58b7ed8b1bd56f,4.999999740035658e+16
63,UNWRAP-93ff4b667a85a5928d153e617e41543d77bbc3d87f069ef660f18a3a15ceff2a,1615244336,UNWRAP,49637000000000000,0x9c5dde694ef0b1c17a7ef6ae2e58b7ed8b1bd56f,4.999999740035658e+16,0x0000000000000000000000000000000000000000,-7.455498349074342e+21
64,WRAP-4d0d446521cc913dc9978ce6c43178cd470fb90b78e6c7b000dc6a8037662d6a,1615245585,WRAP,28695624439393616527,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x20eadfcaf91bd98674ff8fc341d148e1731576a4,3.894922091513897e+19
65,WRAP-064b39ded16e508642fa489493231fc56e87c2e614afb4f265346dd7c7e58b38,1615246763,WRAP,30179512344221437759,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x51d679666d6a24653f1fae57a8b1a04f69abab99,0.0
66,WRAP-1e0643e3e888928ea5c23a72fdecf74fca6ee65a1d1910ab399ed7806136adf0,1615247617,WRAP,33753401963931871178,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x608b10b5cb5154132564e1d415b116def66a3960,6.479999999886914e+19
67,SEND-e570dc9dd13bd095bb97bacff9a65e489760de03bb60472d56b2d3343105703c,1615248818,SEND,64799999844081338587,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-1.51541466175454e+21,0x608b10b5cb5154132564e1d415b116def66a3960,6.479999999886914e+19
68,UNWRAP-e570dc9dd13bd095bb97bacff9a65e489760de03bb60472d56b2d3343105703c,1615248818,UNWRAP,64330013000000000000,0x608b10b5cb5154132564e1d415b116def66a3960,6.479999999886914e+19,0x0000000000000000000000000000000000000000,-7.455498349074342e+21
69,WRAP-e1f82438cd3a3493f0ee747506d3dc68996d05e109b10817197d094dcf721b19,1615252046,WRAP,24818677914655787631,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x09dbc4a902199bbe7f7ec29b3714731786f2e878,8.085275916398667e+19
70,WRAP-cc53f80106ef807f7fe6e9b1f8e9de98d34f997314fe85de58d56fb373b58f44,1615252563,WRAP,25381466255048522271,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x2ae1d88af6d27cdf7c5c3799c8bf88191e2686d6,0.0
