,actions_id,actions_tx_hash,actions_timestamp,actions_action_type,actions_amount,actions_transfer_amount,actions_transfer_sender_id,actions_transfer_sender_holdings,actions_transfer_receiver_id,actions_transfer_receiver_holdings
0,SEND-2cc326a3347909d44abe8e99726d1d16bf8b6b6eaba99aa6590cc115d749206e,2cc326a3347909d44abe8e99726d1d16bf8b6b6eaba99aa6590cc115d749206e,1617539875,SEND,44077971976428678832,44077971976428678832,0xcd91538b91b4ba7797d39a2f66e63810b50a33d0,7.174420301602505e+21,0xa3829551320b8c642e050b673e94a8560048a45e,4.4077971976428675e+19
1,SEND-a9ba439657928e0b760a10f96e4b40c1005fb87eb7d3322b3147b95eb7143307,a9ba439657928e0b760a10f96e4b40c1005fb87eb7d3322b3147b95eb7143307,1617510356,SEND,6993506337503366461,6993506337503366461,0xcd91538b91b4ba7797d39a2f66e63810b50a33d0,7.174420301602505e+21,0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,6.993506337503366e+18
2,UNWRAP-7e129dd1ce968567ec07f65d4242f0cad18baa86084d5023cc336a3991dabebc,7e129dd1ce968567ec07f65d4242f0cad18baa86084d5023cc336a3991dabebc,1617491594,UNWRAP,10756638319852255720,10756638319852255720,0xa1c6bf9a94e603c0c7e0559a9bbe6329137239f7,0.0,0x0000000000000000000000000000000000000000,-7.388155125109074e+21
3,SEND-0131e7bcceb7f3d1f7dd6fba1a75d35c15f6a2fece9a20df9189b6741569aaef,0131e7bcceb7f3d1f7dd6fba1a75d35c15f6a2fece9a20df9189b6741569aaef,1617491420,SEND,10750000000000000000,10750000000000000000,0xcd91538b91b4ba7797d39a2f66e63810b50a33d0,7.174420301602505e+21,0xa1c6bf9a94e603c0c7e0559a9bbe6329137239f7,0.0
4,UNWRAP-a3bee1f4a09d1540742ee8c6b381ce1f656bc3fcdc750400056c7879dd104115,a3bee1f4a09d1540742ee8c6b381ce1f656bc3fcdc750400056c7879dd104115,1617474713,UNWRAP,49637355829311575262,49637355829311575262,0x58f41b41ab4884520769c382d45188f9d5c31b27,0.0,0x0000000000000000000000000000000000000000,-7.388155125109074e+21
5,SEND-b5961f14ead38041888fb4eb6a37b732e6301d0b17d004fa676698b7a92e3504,b5961f14ead38041888fb4eb6a37b732e6301d0b17d004fa676698b7a92e3504,1617474637,SEND,49637355829311575262,49637355829311575262,0xcd91538b91b4ba7797d39a2f66e63810b50a33d0,7.174420301602505e+21,0x58f41b41ab4884520769c382d45188f9d5c31b27,0.0
6,UNWRAP-145b920447dbd7e55e3ef940f72d2a434e9912a3c64acda3bbc8471d88601e8b,145b920447dbd7e55e3ef940f72d2a434e9912a3c64acda3bbc8471d88601e8b,1617440189,UNWRAP,6949229816103620536,6949229816103620536,0xdcd9ba7fc0b8324817a13deb3c268f80976056b4,0.0,0x0000000000000000000000000000000000000000,-7.388155125109074e+21
7,SEND-270c78a03b4931bae1f46619d73d84dbb86ee465d3f41f31822d04d7319f3d4f,270c78a03b4931bae1f46619d73d84dbb86ee465d3f41f31822d04d7319f3d4f,1617440123,SEND,6949229816103620536,6949229816103620536,0xcd91538b91b4ba7797d39a2f66e63810b50a33d0,7.174420301602505e+21,0xdcd9ba7fc0b8324817a13deb3c268f80976056b4,0.0
8,OTHER-4439de6821d65bb79059a7fa76ef1dbe2cfb992f11b064a70499823e6c421bf0,4439de6821d65bb79059a7fa76ef1dbe2cfb992f11b064a70499823e6c421bf0,1617440123,OTHER,,,0x,0.0,0x,0.0
9,OTHER-0bf32af2424012f1e17bc41f1cc705afe8cc863f2b4b20f7b3b1d421a1d6d8b0,0bf32af2424012f1e17bc41f1cc705afe8cc863f2b4b20f7b3b1d421a1d6d8b0,1617431573,OTHER,,,0x,0.0,0x,0.0
10,SEND-459c03c6c8c4330237175141439473e6746e51045720a6df1956e2906b9f4e50,459c03c6c8c4330237175141439473e6746e51045720a6df1956e2906b9f4e50,1617220073,SEND,31724510353677513519,31724510353677513519,0xcd91538b91b4ba7797d39a2f66e63810b50a33d0,7.174420301602505e+21,0x7d4c4d5380ca2f9c7a091bb622b80613da7eae8c,3.1724510353677513e+19
11,OTHER-1c0a87bf97ffbe09187202fbf9c48973fe2014fcd4eca2b8f502f3b1a892f66f,1c0a87bf97ffbe09187202fbf9c48973fe2014fcd4eca2b8f502f3b1a892f66f,1617199342,OTHER,,,0x,0.0,0x,0.0
12,UNWRAP-f3054db6ebb32dac412aa027ecbed1688db096f7bdb11bd7c577af9d43fe9bc8,f3054db6ebb32dac412aa027ecbed1688db096f7bdb11bd7c577af9d43fe9bc8,1617165844,UNWRAP,3144724049276083547,3144724049276083547,0xd3802dce7f7a54d59e7a64329d287624ff3f495a,0.0,0x0000000000000000000000000000000000000000,-7.388155125109074e+21
13,SEND-44d35e76f72c26ce7463ec4033b0995cbbe6ea80ce9b067959e5d486ca15730f,44d35e76f72c26ce7463ec4033b0995cbbe6ea80ce9b067959e5d486ca15730f,1617165786,SEND,3144724049276083547,3144724049276083547,0xcd91538b91b4ba7797d39a2f66e63810b50a33d0,7.174420301602505e+21,0xd3802dce7f7a54d59e7a64329d287624ff3f495a,0.0
14,OTHER-deae91f9ea055239e2168efc3cdd7d1b598b8d4662764826f9f7e31635419032,deae91f9ea055239e2168efc3cdd7d1b598b8d4662764826f9f7e31635419032,1617104557,OTHER,,,0x,0.0,0x,0.0
15,WRAP-4e1f8724a1c11b053648ca5565145c909185a0a26df6d2a8cf49fec54847f770,4e1f8724a1c11b053648ca5565145c909185a0a26df6d2a8cf49fec54847f770,1617009110,WRAP,35623334784462118176,35623334784462118176,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xececafb3fea380ed39264a7ac86a3af846375aff,3334784462118176.0
16,WRAP-2aaa4f218b8d34e54dd8a1d9ed53086bfaac92c666be2a40e0987c39c25f1d9e,2aaa4f218b8d34e54dd8a1d9ed53086bfaac92c666be2a40e0987c39c25f1d9e,1617001449,WRAP,59715855785817977,59715855785817977,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xff002dae4b9a24a4512d89a9793a1ea794bc8c63,6.963027639793978e+16
17,OTHER-2a2f52676c7575cb3e3dff1f25fdc557c8d4cc150660071c2b221628f6dba90c,2a2f52676c7575cb3e3dff1f25fdc557c8d4cc150660071c2b221628f6dba90c,1616922832,OTHER,,,0x,0.0,0x,0.0
18,WRAP-15d85d2ef903ef8f1d2ce7b1d005cb2bc9cadea2622779461839d890dea20ee8,15d85d2ef903ef8f1d2ce7b1d005cb2bc9cadea2622779461839d890dea20ee8,1616877244,WRAP,1977822334539871181,1977822334539871181,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xbf18e45aba8c6bb1f3e83659812e37f14478d9d5,0.0
